,sentiment,content
7,anger,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh
9,anger,Boycotting @DunkinDonuts till butter pecan comes back. I am furious
43,anger,I HATE little girls 😡😡 got a lot off growing up to do!!! 
182,anger,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage"
229,anger,@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.
259,anger,Where's your outrage when a black man kills another black man in the streets?
384,anger,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage
385,anger,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily
418,anger,@judy_that Im honestly offended
440,anger,@NerdIndian Take that back. I am insulted.
499,anger,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst
544,anger,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! 
570,anger,I'd pay good money to watch someone slap that pout off Candice.
598,anger,"Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?"
687,anger,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered
691,anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
701,anger,@o2academybham since when the fuck can you not stand at a concert? 
728,anger,Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD
774,anger,@SunandBeachBum 'you people' infuriate me!
780,anger,@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.
796,anger,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days
812,anger,@HillaryClinton It's your party that has divided this nation.  You inflame the minority population as well as pander.  You are a disgrace.
845,anger,India should now react to the uri attack..... 
908,anger,"seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic world”. •"
960,anger,@RMCunliffe I don't read articles by people who rage about how horrible 'Cybernats' are. Got it?
1032,anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
1074,anger,"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?"
1127,anger,ESPN just assumed I wanted their free magazines #offended
1158,anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
1201,anger,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##
1245,anger,Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!
1280,anger,Forever raging 😏😂😭
1322,anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
1376,anger,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness
1383,anger,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her
1402,anger,but that was a mistake and a half assed excuse and now here i am burning in hell forever
1653,anger,I've always had a weird grudge against stingrays ever since one killed Steve Irwin.
1657,anger,@Arsenal Giroud's beard is making me angry.
1668,anger,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.
1673,anger,... flat party and I instantly get bollocked about it. #fuming
1706,anger,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly
1753,anger,@soyoprincess they irritate me. Them and their inch thick made up masks
1829,anger,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered
1850,anger,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh
1879,anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
1918,anger,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you"
1941,anger,and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers
1947,anger,Like hello? I am your first born you must always laugh at my jokes. #offended
1955,anger,Threat factors in respect to provocation bulb worm: BnQo
1975,anger,"@alliex both, scrap *ll the rage instead"
1984,anger,"@LynneGarrison yeah, I've only seen that floated online as a theory, it was probably made up by a bitter stan. I ignore pets v vets crap too"
2017,anger,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage
2122,anger,some of the casuals tweets that Vic has faved are making me gag 
2165,anger,@eboogiee smh Your whin with that comment
2280,anger,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!
2606,anger,@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers
2618,anger,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! 
2622,anger,I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo
2634,anger,"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg"
2661,anger,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW
2667,anger,@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious
2674,anger,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.
2700,anger,Everyone is raging
2818,anger,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way."
2882,anger,@Iucifaer you can go on what you usually do its just their own personal reason and not mean to offend anyone :(
3148,anger,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife
3196,anger,ICQ is just making me mad!!!😤 #icq #angry
3198,anger,@anz_rocks19  i have to break the twitterparty... im off home soon
3206,anger,"my sisters fucking pc, just blued screened me"
3210,anger,.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.'
